|<|<=|>|>=|=|<>|+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|NOT|ID|NUM|FLOAT_NUM|STRING|FUNCTION|:|;|VAR|,|LONGINT|BOOLEAN|DOUBLE|BEGIN|END|:=|$|SS|E|opR|A|opB|B|opC|C|S|FUN|V|K|P|IL|T|L|BEG|X|Y|M
0|||||||||||||||||||||||||s3||||||||||||||||||||1|2||||||||||
1||||||||||||||||||||||||||||||||||||acc||||||||||||||||||||
2||||||||||||||||||||||||||||s7|||||s6||||||||||||||5||||||4|||
128|||||||r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||r29|||||||||||||||||||||||||||||||||||||
129|||||||r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||r30|||||||||||||||||||||||||||||||||||||
130|||||||r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||r31|||||||||||||||||||||||||||||||||||||
131|r9|r9|r9|r9|r9|r9|r9|r9|r9|r9|s64|s65|s66|s67|s68|s69|s70||r9||||||||||||||||||||||||108|||||||||||||
132|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15||r15|||||||||||||||||||||||||||||||||||||
133|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24||r24|||||||||||||||||||||||||||||||||||||
134||||||||||||||||||||||||||||r34|||||r34|||||||||||||||||||||||
135|||||||r9|r9|r9|r9|s64|s65|s66|s67|s68|s69|s70||||||||||r9|||||||r9|||||||||115|||||||||||||
136|||||||r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15||||||||||r15|||||||r15||||||||||||||||||||||
137|||||||r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24||||||||||r24|||||||r24||||||||||||||||||||||
138|||||||s125|s124||||||||||s123||s126|s127|s128|s129|s130||||||||||||||||||144||122||||||||||||
139|||||||s125|s124||||||||||s123||s126|s127|s128|s129|s130||||||||||||||||||||145||||||||||||
140|||||||||||||||||||s146|||||||||||||||||||||||||||||||||||||
141|||||||r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||r25|||||||||||||||||||||||||||||||||||||
142|||||||r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||r26|||||||||||||||||||||||||||||||||||||
143|||||||r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||r27|||||||||||||||||||||||||||||||||||||
144|||||||r9|r9|r9|r9|s64|s65|s66|s67|s68|s69|s70||r9||||||||||||||||||||||||139|||||||||||||
145|||||||r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15||r15|||||||||||||||||||||||||||||||||||||
146|||||||r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24||r24|||||||||||||||||||||||||||||||||||||
